"","","","Batting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pitching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fielding","","","","","","","","","","","","","","","","","","","","","","","","",""
"Number","Last","First","GP","PA","AB","AVG","OBP","OPS","SLG","H","1B","2B","3B","HR","RBI","R","BB","SO","K-L","HBP","SAC","SF","ROE","FC","SB","SB%","CS","PIK","QAB","QAB%","PA/BB","BB/K","C%","HHB","LD%","FB%","GB%","BABIP","BA/RISP","LOB","2OUTRBI","XBH","TB","PS","PS/PA","2S+3","2S+3%","6+","6+%","AB/HR","GIDP","GITP","CI","IP","GP","GS","BF","#P","W","L","SV","SVO","BS","SV%","H","R","ER","BB","SO","K-L","HBP","ERA","WHIP","LOB","BK","PIK","CS","SB","SB%","WP","BAA","MPHFB","MPHCT","MPHCB","MPHSL","MPHCH","MPHOS","P/IP","P/BF","<3%","LOO","1ST2OUT","123INN","<13","FIP","S%","FPS%","FPSO%","FPSW%","FPSH%","BB/INN","0BBINN","BBS","LOBB","LOBBS","SM%","K/BF","K/BB","WEAK%","HHB%","GO/AO","HR","LD%","FB%","GB%","BABIP","BA/RISP","FB","FBS","FBS%","FBSW%","FBSM%","CT","CTS","CTS%","CTSW%","CTSM%","CB","CBS","CBS%","CBSW%","CBSM%","SL","SLS","SLS%","SLSW%","SLSM%","CH","CHS","CHS%","CHSW%","CHSM%","OS","OSS","OSS%","OSSW%","OSSM%","TC","A","PO","FPCT","E","DP","TP","INN","PB","SB","SB-ATT","CS","CS%","PIK","CI","P","C","1B","2B","3B","SS","LF","CF","RF","SF","Total"
"9","Smith","Zach","18","21","13",".308",".550",".858",".308","4","4","0","0","0","2","5","6","5","2","1","1","0","0","0","3","75.00","1","1","13","61.90","3.5","1.200","61.54","3","22.22","22.22","33.33",".500",".333","6","0","0","4","91","4.333","3","14.29","3","14.29","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","22","11","7",".818","4","3","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","12.1","11.2","25.2","0.0","0.0","0.0","0.0","49.2"
"10","Krilich","Cole","20","43","40",".250",".302",".702",".400","10","6","3","0","1","10","5","3","8","3","0","0","0","4","1","5","100.0","0","0","25","58.14","14.3",".375","80.00","13","28.13","25.00","46.88",".290",".429","15","3","4","16","146","3.395","3","6.98","8","18.60","40.0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","13","1","12","1.000","0","1","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","49.2","0.0","50.1"
"11","Porras","Daniel","25","85","69",".304",".400",".864",".464","21","13","6","1","1","21","14","8","8","3","5","0","3","5","2","8","80.00","2","1","46","54.12","10.6","1.000","88.41","25","31.25","31.25","32.81",".317",".483","34","8","8","32","284","3.341","12","14.12","16","18.82","69.0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","41","3","37",".976","1","2","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","34.0","1.1","0.0","0.0","15.0","0.0","52.0","0.0","102.1"
"12","Mar","Ethan","23","62","51",".196",".339",".554",".216","10","9","1","0","0","2","8","10","10","2","1","0","0","1","1","1","100.0","0","0","37","59.68","6.2","1.000","80.39","15","26.83","29.27","43.90",".244",".167","29","1","1","11","233","3.758","9","14.52","16","25.81","-","1","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","100","5","92",".970","3","5","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","115.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","115.2"
"13","Peterson","Cutter","16","41","31",".161",".366",".559",".194","5","4","1","0","0","3","1","6","6","2","4","0","0","3","0","0","-","0","0","16","39.02","6.8","1.000","80.65","7","24.00","32.00","40.00",".200",".222","17","2","1","6","147","3.585","3","7.32","5","12.20","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","99","1","96",".980","2","1","0","94.0","6","35","35-41","6","14.63","0","1","0.0","94.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","94.0"
"14","Payne","Hunter","21","51","41",".195",".320",".515",".195","8","8","0","0","0","5","9","6","12","4","2","1","1","2","1","9","100.0","0","1","24","47.06","8.5",".500","70.73","8","16.67","33.33","46.67",".267",".200","19","2","0","8","197","3.863","9","17.65","9","17.65","-","0","0","0","0.0","1","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","-","-","0","0","0","0","0","-","0","-","N/A","N/A","N/A","N/A","N/A","N/A","-","-","-","0","0","0","0","-","-","-","-","-","-","-","0","0","0","0","-","-","-","-","-","-","0","-","-","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","46","23","21",".957","2","1","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","83.1","6.2","12.0","0.0","0.0","0.0","0.0","102.0"
"15","Heckman","Ryland","25","86","67",".239",".395",".739",".343","16","11","4","0","1","12","9","16","25","11","2","0","1","3","1","2","100.0","0","1","44","51.16","5.4",".640","62.69","15","27.91","41.86","30.23",".357",".194","49","4","5","23","356","4.140","10","11.63","17","19.77","67.0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","62","22","32",".871","8","5","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","7.0","0.0","146.0","0.0","0.0","0.0","0.0","0.0","153.0"
"16","Cuda","Jake","1","1","0","-","1.000","1.000","-","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","-","0","0","1","100.0","1.0",".000","-","0","-","-","-","-","-","0","0","0","0","5","5.000","0","0.00","0","0.00","-","0","0","0","20.2","8","2","81","306","3","0","1","1","0","100.0","10","1","1","8","18","9","2",".339",".871","13","0","0","0","3","100.0","0",".141","N/A","N/A","N/A","N/A","N/A","N/A","14.8","3.778","41.98","18","10","10","10","2.597","61.76","56.79","86.96","2.17","10.87",".387","12","1","0","0","5.88",".222","2.250","64.15","35.85",".600","0","28.30","32.08","38.46",".189",".211","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","5","1","3",".800","1","0","0","0.0","0","0","0-0","0","-","0","0","20.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.2"
"17","Riley","Greyson","3","1","0","-",".000",".000","-","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","-","0","0","1","100.0","-",".000","-","1","100.0","0.00","0.00",".000","-","0","0","0","0","4","4.000","0","0.00","0","0.00","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0","-","0","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","2.0","0.0","0.0","2.2"
"18","Sams","Mason","1","1","1",".000",".000",".000",".000","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","-","0","0","0","0.00","-",".000","0.00","0","-","-","-","-",".000","1","0","0","0","3","3.000","0","0.00","0","0.00","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","1","0","0",".000","1","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0"
